Mon Jan 11 02:11:36 Log file reset
Mon Jan 11 02:20:02 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\SOJ.llb
Mon Jan 11 02:20:02 Saved as file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\SOJ.llb
Mon Jan 11 02:20:07 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\template.imp
Mon Jan 11 02:20:07 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\template.imp
Mon Jan 11 02:20:12 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\SOJ.llb
Mon Jan 11 02:20:13 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\template.imp
Mon Jan 11 02:20:15 Loaded file C:\MYWORKS\HOMELIGHTING\02_HW\LEDDRIVER.MAX
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\BCON100T.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\BCON156T.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\BGA.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\CLCC.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\DCON050T.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\DCON085T.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\DIMM050F.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\DIMM050T.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\DIN.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\DIP100B.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\DIP100T.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\DSUBT.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\DSUBT_HD.LLB
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\ECON100T.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\FBUS.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\ISA.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\JUMPER.LLB
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\LAYOUT.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\LCON100T.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\PC104.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\PCI.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\PCON100T.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\PCON156T.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\PGA.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\PLCC.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\QUAD.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\QUADB.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\RELAY.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\RF.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\SBUS.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\SIMM050F.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\SIMM050T.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\SIMM100F.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\SIMM100T.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\SIP.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\SM.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\SOG.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\SOJ.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\STIFF.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\TELE.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\TM_AXIAL.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\TM_CAP_P.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\TM_CYLND.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\TM_DIODE.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\TM_DISC.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\TM_RAD.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\TO.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\TRAINING.LLB
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\VRES.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\WCON100T.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\XT.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\ZIGZAG.llb
Mon Jan 11 02:20:15 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\SOJ.llb
Mon Jan 11 02:20:47 Saved as file BACKUP1.MAX
Mon Jan 11 02:21:36 Saved as file BACKUP1.MAX
Mon Jan 11 02:24:02 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\template.imp
Mon Jan 11 02:24:33 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\padstack.llb
Mon Jan 11 02:25:52 Loaded file C:\MYWORKS\HOMELIGHTING\02_HW\LEDDRIVER.MAX
Mon Jan 11 02:25:52 Saved as file C:\MYWORKS\HOMELIGHTING\02_HW\LEDDRIVER.MAX
Mon Jan 11 02:26:00 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\SOJ.llb
Mon Jan 11 02:26:00 Saved as file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\SOJ.llb
Mon Jan 11 02:26:04 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\template.imp
Mon Jan 11 02:26:04 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\template.imp
Mon Jan 11 02:26:20 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\SOJ.llb
Mon Jan 11 02:26:23 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\template.imp
Mon Jan 11 02:26:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\SOJ.llb
Mon Jan 11 02:26:48 Saved as file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\SOJ.llb
Mon Jan 11 02:26:50 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\template.imp
Mon Jan 11 02:26:50 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\template.imp
Mon Jan 11 02:26:53 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\BGA.llb
Mon Jan 11 02:26:53 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\SBUS.llb
Mon Jan 11 02:26:58 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\library\SOJ.llb
Mon Jan 11 02:27:00 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\template.imp
Mon Jan 11 02:27:09 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\DEFAULT.MAX
Mon Jan 11 02:27:09 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\template.imp
Mon Jan 11 02:27:09 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\template.imp
